movieId,title,genres,year,Count(title)
1,Toy Story,Animación|Aventura|Familia|Comedia,1995.0,1.0
2,Jumanji,Aventura|Fantasía|Familia,1995.0,1.0
3,Discordias a la carta,Romance|Comedia,1995.0,1.0
4,Esperando un respiro,Comedia|Drama|Romance,1995.0,1.0
5,Vuelve el padre de la novia (Ahora también abuelo),Comedia|Familia,1995.0,1.0
6,Heat,Acción|Crimen|Drama|Suspense,1995.0,1.0
7,Sabrina (y sus amores),Comedia|Romance,1995.0,1.0
8,Tom y Huck,Familia|Acción|Aventura|Drama,1995.0,1.0
9,Muerte súbita,Acción|Aventura|Suspense|Drama,1995.0,1.0
10,GoldenEye,Aventura|Acción|Suspense,1995.0,1.0
11,El presidente y Miss Wade,Comedia|Drama|Romance,1995.0,1.0
12,Drácula un muerto muy contento y feliz,Comedia|Terror|Fantasía,1995.0,1.0
13,Balto: La leyenda del perro esquimal,Familia|Animación|Aventura,1995.0,1.0
14,Nixon,Historia|Drama,1995.0,1.0
15,La Isla de las Cabezas Cortadas,Acción|Aventura,1995.0,1.0
16,Casino,Crimen|Drama,1995.0,1.0
17,Sentido y sensibilidad,Drama|Romance,1995.0,1.0
18,Four Rooms,Crimen|Comedia,1995.0,1.0
19,Ace Ventura: operación África,Crimen|Comedia|Aventura,1995.0,1.0
20,Asalto al tren del dinero,Acción|Comedia|Crimen,1995.0,1.0
21,Cómo conquistar Hollywood,Comedia|Suspense|Crimen,1995.0,1.0
22,Copycat,Suspense|Crimen,1995.0,1.0
23,Asesinos,Acción|Aventura|Crimen|Suspense,1995.0,1.0
24,Powder (Pura energía),Drama|Fantasía|Ciencia ficción|Suspense,1995.0,1.0
25,Leaving Las Vegas,Drama|Romance,1995.0,1.0
26,Otelo,Drama,1995.0,1.0
27,Amigas para siempre,Comedia|Drama|Romance,1995.0,1.0
28,Persuasión,Drama|Romance,1995.0,1.0
29,La ciudad de los niños perdidos,Fantasía|Ciencia ficción|Aventura,1995.0,1.0
30,La joya de Shanghai,Drama|Crimen,1995.0,1.0
31,Mentes peligrosas,Drama,1995.0,1.0
32,12 monos,Ciencia ficción|Suspense|Misterio,1995.0,1.0
33,Guillaumet les ailes du courage,Romance|Aventura,1996.0,1.0
34,Babe el cerdito valiente,Fantasía|Drama|Comedia|Familia,1995.0,1.0
35,Carrington,Historia|Drama|Romance,1995.0,1.0
36,Pena de muerte,Drama,1995.0,1.0
37,Across the Sea of Time,Aventura|Historia|Drama|Familia,1995.0,1.0
38,Dos por el precio de una,Comedia|Familia|Romance,1995.0,1.0
39,Clueless (Fuera de onda),Comedia|Romance,1995.0,1.0
40,Llanto por la tierra amada,Drama,1995.0,1.0
41,Ricardo III,Drama|Bélica,1995.0,1.0
42,Dinero para quemar,Acción|Drama|Crimen,1995.0,1.0
43,Restauración,Drama|Romance,1995.0,1.0
44,Mortal Kombat,Acción|Fantasía,1995.0,1.0
45,Todo por un sueño,Drama|Comedia|Crimen,1995.0,1.0
46,Donde reside el Amor,Drama|Romance,1995.0,1.0
47,Seven (Se7en),Crimen|Misterio|Suspense,1995.0,1.0
48,Pocahontas,Aventura|Animación|Familia|Romance,1995.0,1.0
49,Cuando cae la noche,Drama|Romance,1995.0,1.0
50,Sospechosos habituales,Drama|Crimen|Suspense,1995.0,1.0
51,Guardian Angel,Acción|Suspense|Drama,1994.0,1.0
52,Poderosa Afrodita,Comedia|Romance,1995.0,1.0
53,Lamerica,Drama,1994.0,1.0
54,Somos los peores,Acción|Aventura|Comedia|Familia,1995.0,1.0
55,Georgia,Drama,1995.0,1.0
56,Los chicos de la tabla redonda,Familia|Fantasía|Comedia|Aventura,1995.0,1.0
57,A casa por vacaciones,Comedia|Drama|Romance,1995.0,1.0
58,El cartero (y Pablo Neruda),Comedia|Drama|Romance,1994.0,1.0
59,Secreto de confesión,Suspense|Drama|Misterio,1995.0,1.0
60,La llave mágica,Aventura|Familia|Fantasía,1995.0,1.0
61,Eye for an Eye (Ojo por ojo),Suspense|Crimen,1996.0,1.0
62,Profesor Holland,Drama|Música|Familia,1995.0,1.0
63,Los colegas del barrio,Comedia,1996.0,1.0
64,Corazones robados,Comedia|Romance,1996.0,1.0
65,Bio-Dome,Comedia,1996.0,1.0
66,El cortador de césped 2,Ciencia ficción,1996.0,1.0
67,Two Bits,Drama|Familia,1995.0,1.0
68,Felpudo Maldito,Comedia|Romance,1995.0,1.0
69,Todo en un viernes (Friday),Comedia,1995.0,1.0
70,Abierto hasta el amanecer,Terror|Acción|Suspense|Crimen,1996.0,1.0
71,Caza legal,Acción|Suspense|Romance,1995.0,1.0
72,Kicking and Screaming,Comedia|Drama|Romance,1995.0,1.0
73,Testigo de excepción,Drama,1995.0,1.0
74,Mil ramos de rosas,Drama|Romance,1996.0,1.0
75,Mi querido enemigo,Comedia,1996.0,1.0
76,Asesinos cibernéticos,Terror|Ciencia ficción,1995.0,1.0
77,Nico Icon,Documental,1995.0,1.0
78,Cruzando la oscuridad,Drama|Suspense,1995.0,1.0
79,Coacción a un jurado,Suspense,1996.0,1.0
80,El globo blanco,Drama,1995.0,1.0
